Name,Age,Team,League,Games_Played,Plate_Appearances,At_Bats,Hits,Home_Runs,RBIs,Walks,Strike_Outs,Batting_Average,Onbase_Percentage,Slugging
Oscar González,25,CLE,AL,54,180,173,37,2,12,5,46,0.214,0.239,0.312
Dominic Canzone,25,TOT,MLB,59,182,173,38,6,21,8,32,0.22,0.258,0.399
Anthony Rendon,33,LAA,AL,43,183,148,35,2,22,25,27,0.236,0.361,0.318
Enrique Hernández,31,LAD,NL,54,185,168,44,5,30,12,29,0.262,0.308,0.423
Pablo Reyes,29,BOS,AL,64,185,167,48,2,20,14,21,0.287,0.339,0.377
DJ Stewart,29,NYM,NL,58,185,160,39,11,26,15,56,0.244,0.333,0.506
Jason Delay,28,PIT,NL,70,187,167,42,1,18,14,44,0.251,0.319,0.347
Austin Hedges,30,PIT,NL,65,187,161,29,1,14,11,39,0.18,0.237,0.23
Josh Donaldson,37,TOT,MLB,50,189,165,25,13,26,22,50,0.152,0.249,0.418
Eduardo Escobar,34,LAA,AL,59,189,178,39,2,15,10,54,0.219,0.259,0.303
Carlos Pérez,32,OAK,AL,66,189,168,38,6,20,13,40,0.226,0.293,0.357
Nicky Lopez,28,KCR,AL,68,190,160,34,0,13,21,30,0.213,0.323,0.281
Oswald Peraza,23,NYY,AL,52,191,173,33,2,14,13,50,0.191,0.267,0.272
Brendan Rodgers,26,COL,NL,46,192,178,46,4,20,11,41,0.258,0.313,0.388
Seby Zavala,29,TOT,MLB,73,193,175,30,7,18,12,70,0.171,0.23,0.314
Jesse Winker,29,MIL,NL,61,197,166,33,1,23,26,51,0.199,0.32,0.247
Luke Maile,32,CIN,NL,74,199,179,42,6,25,14,49,0.235,0.308,0.391
Logan O'Hoppe,23,LAA,AL,51,199,182,43,14,29,14,48,0.236,0.296,0.5
Austin Barnes,33,LAD,NL,59,200,178,32,2,11,17,43,0.18,0.256,0.242
Jake Cave,30,PHI,NL,65,203,184,39,5,21,15,55,0.212,0.272,0.348
Mark Canha,34,MIL,NL,50,204,178,51,5,33,17,27,0.287,0.373,0.427
Endy Rodríguez,23,PIT,NL,57,204,186,41,3,13,17,49,0.22,0.284,0.328
Christian Arroyo,28,BOS,AL,66,206,195,47,3,24,7,45,0.241,0.268,0.369
Reese McGuire,28,BOS,AL,72,206,187,50,1,16,11,53,0.267,0.31,0.358
Kevin Pillar,34,ATL,NL,81,206,197,45,9,32,6,50,0.228,0.248,0.416
Austin Slater,30,SFG,NL,89,207,185,50,5,20,20,58,0.27,0.348,0.4
Randal Grichuk,31,LAA,AL,54,208,194,42,8,17,11,45,0.216,0.264,0.412
Matt Duffy,32,KCR,AL,78,209,191,48,2,16,12,39,0.251,0.306,0.325
Jared Triolo,25,PIT,NL,54,209,181,54,3,21,24,63,0.298,0.388,0.398
Nick Ahmed,33,ARI,NL,72,210,198,42,2,17,12,52,0.212,0.257,0.303
Austin Hedges,30,TOT,MLB,81,212,185,34,1,16,11,47,0.184,0.234,0.227
Trevor Larnach,26,MIN,AL,58,212,183,39,8,40,27,72,0.213,0.311,0.415
Liover Peguero,22,PIT,NL,59,213,198,47,7,26,11,67,0.237,0.28,0.374
Josh Rojas,29,ARI,NL,59,216,189,43,0,26,18,51,0.228,0.292,0.296
Kolten Wong,32,SEA,AL,67,216,194,32,2,19,16,46,0.165,0.241,0.227
Jake Burger,27,MIA,NL,53,217,198,60,9,28,10,47,0.303,0.355,0.505
Tommy Pham,35,ARI,NL,50,217,195,47,6,32,18,50,0.241,0.304,0.415
Tucupita Marcano,23,PIT,NL,75,220,202,47,3,18,10,35,0.233,0.276,0.356
Sal Frelick,23,MIL,NL,57,223,191,47,3,24,28,37,0.246,0.341,0.351
Josh Bell,30,MIA,NL,53,224,200,54,11,26,20,53,0.27,0.338,0.48
Rodolfo Castro,24,PIT,NL,78,224,197,45,6,22,21,62,0.228,0.317,0.355
C.J. Cron,33,COL,NL,56,224,208,54,11,32,13,50,0.26,0.304,0.476
Victor Caratini,29,MIL,NL,62,226,201,52,7,25,19,45,0.259,0.327,0.383
James McCann,33,BAL,AL,69,226,207,46,6,26,9,57,0.222,0.269,0.377
