name,album,Attribute,Value
Sweet Nothing,Midnights,danceability,0.336
Sweet Nothing,Midnights,duration_ms,188496
Sweet Nothing,Midnights,popularity,69
Sweet Nothing,Midnights,tempo,176.48
Vigilante Shit,Midnights,danceability,0.872
Vigilante Shit,Midnights,duration_ms,164801
Vigilante Shit,Midnights,popularity,74
Vigilante Shit,Midnights,tempo,79.964
"You're On Your Own, Kid",Midnights,danceability,0.696
"You're On Your Own, Kid",Midnights,duration_ms,194206
"You're On Your Own, Kid",Midnights,popularity,77
"You're On Your Own, Kid",Midnights,tempo,120.032
22,Red,danceability,0.658
22,Red,duration_ms,230133
22,Red,popularity,53
22,Red,tempo,104.007
All Too Well,Red,danceability,0.602
All Too Well,Red,duration_ms,327893
All Too Well,Red,popularity,44
All Too Well,Red,tempo,93.06
Begin Again,Red,danceability,0.53
Begin Again,Red,duration_ms,237613
Begin Again,Red,popularity,56
Begin Again,Red,tempo,79.025
Everything Has Changed,Red,danceability,0.624
Everything Has Changed,Red,duration_ms,243933
Everything Has Changed,Red,popularity,50
Everything Has Changed,Red,tempo,80.017
Holy Ground,Red,danceability,0.627
Holy Ground,Red,duration_ms,201853
Holy Ground,Red,popularity,37
Holy Ground,Red,tempo,157.043
I Almost Do,Red,danceability,0.567
I Almost Do,Red,duration_ms,242573
I Almost Do,Red,popularity,39
I Almost Do,Red,tempo,145.865
I Knew You Were Trouble.,Red,danceability,0.622
I Knew You Were Trouble.,Red,duration_ms,217973
I Knew You Were Trouble.,Red,popularity,61
I Knew You Were Trouble.,Red,tempo,77.019
Red,Red,danceability,0.602
Red,Red,duration_ms,220826
Red,Red,popularity,58
Red,Red,tempo,124.978
Sad Beautiful Tragic,Red,danceability,0.624
Sad Beautiful Tragic,Red,duration_ms,283680
Sad Beautiful Tragic,Red,popularity,35
Sad Beautiful Tragic,Red,tempo,129.987
Starlight,Red,danceability,0.649
Starlight,Red,duration_ms,217826
Starlight,Red,popularity,37
Starlight,Red,tempo,126.018
State Of Grace,Red,danceability,0.588
State Of Grace,Red,duration_ms,295186
State Of Grace,Red,popularity,40
State Of Grace,Red,tempo,129.968
Stay Stay Stay,Red,danceability,0.729
